iteration,strategy_id,strategy_name,case_id,family,exact,partial_correct,partial_total,base_exact,base_oracle,review_calls,review_candidate_oracle,repair_created_correct_answer,effective_calls,base_unique_candidates,review_unique_outputs,helpful_intervention,harmful_intervention,final_answer
5,direct-1,Direct One,cal-t4-sequence-01,sequence,0,0,3,0,0,0,,0,1,1,0,0,0,"{""answer"":[0,0,0]}"
5,direct-1,Direct One,cal-t4-sequence-02,sequence,0,0,3,0,0,0,,0,1,1,0,0,0,"{""answer"":[0,0,0]}"
5,direct-1,Direct One,cal-t4-sequence-03,sequence,1,3,3,1,1,0,,0,1,1,0,0,0,"{""answer"":[74,63,9]}"
5,direct-1,Direct One,cal-t4-sequence-04,sequence,0,0,3,0,0,0,,0,1,1,0,0,0,"{""answer"":[0,0,0]}"
5,direct-1,Direct One,cal-t4-sequence-05,sequence,0,0,3,0,0,0,,0,1,1,0,0,0,"{""answer"":[0,0,0]}"
5,direct-1,Direct One,cal-t4-sequence-06,sequence,0,0,3,0,0,0,,0,1,1,0,0,0,"{""answer"":[0,0,0]}"
5,direct-1,Direct One,cal-t4-constraint-01,constraint,0,8,13,0,0,0,,0,1,1,0,0,0,"{""answer"":{""J1"":""W"",""J10"":""Y"",""J11"":""Z"",""J12"":""W"",""J2"":""Z"",""J3"":""Y"",""J4"":""Z"",""J5"":""X"",""J6"":""X"",""J7"":""X"",""J8"":""W"",""J9"":""Y""},""total_cost"":181}"
5,direct-1,Direct One,cal-t4-constraint-02,constraint,0,4,13,0,0,0,,0,1,1,0,0,0,"{""answer"":{""J1"":""Y"",""J10"":""X"",""J11"":""Z"",""J12"":""Z"",""J2"":""W"",""J3"":""Y"",""J4"":""X"",""J5"":""Y"",""J6"":""W"",""J7"":""Z"",""J8"":""W"",""J9"":""X""},""total_cost"":107}"
5,direct-1,Direct One,cal-t4-constraint-03,constraint,0,6,13,0,0,0,,0,1,1,0,0,0,"{""answer"":{""J1"":""Z"",""J10"":""Y"",""J11"":""W"",""J12"":""Z"",""J2"":""Y"",""J3"":""Z"",""J4"":""X"",""J5"":""W"",""J6"":""W"",""J7"":""X"",""J8"":""X"",""J9"":""Y""},""total_cost"":147}"
5,direct-1,Direct One,cal-t4-constraint-04,constraint,1,13,13,1,1,0,,0,1,1,0,0,0,"{""answer"":{""J1"":""W"",""J10"":""Y"",""J11"":""Z"",""J12"":""X"",""J2"":""Z"",""J3"":""X"",""J4"":""X"",""J5"":""Y"",""J6"":""Y"",""J7"":""W"",""J8"":""Z"",""J9"":""W""},""total_cost"":161}"
5,direct-1,Direct One,cal-t4-constraint-05,constraint,0,10,13,0,0,0,,0,1,1,0,0,0,"{""answer"":{""J1"":""Y"",""J10"":""X"",""J11"":""Z"",""J12"":""X"",""J2"":""W"",""J3"":""Z"",""J4"":""Y"",""J5"":""W"",""J6"":""X"",""J7"":""W"",""J8"":""Z"",""J9"":""Y""},""total_cost"":79}"
5,direct-1,Direct One,cal-t4-constraint-06,constraint,0,5,13,0,0,0,,0,1,1,0,0,0,"{""answer"":{""J1"":""W"",""J10"":""X"",""J11"":""W"",""J12"":""W"",""J2"":""Y"",""J3"":""Z"",""J4"":""Z"",""J5"":""X"",""J6"":""Y"",""J7"":""Z"",""J8"":""X"",""J9"":""Y""},""total_cost"":191}"
