iteration,strategy_id,strategy_name,case_id,family,exact,partial_correct,partial_total,base_exact,base_oracle,review_calls,effective_calls,helpful_intervention,harmful_intervention,final_answer
1,direct-1,Direct One,cal-t4-sequence-01,sequence,0,0,3,0,0,0,1,0,0,"{""answer"":[-1,-1,-1]}"
1,direct-1,Direct One,cal-t4-sequence-02,sequence,0,0,3,0,0,0,1,0,0,"{""answer"":[80,44,71]}"
1,direct-1,Direct One,cal-t4-sequence-03,sequence,0,0,3,0,0,0,1,0,0,"{""answer"":[87,0,0]}"
1,direct-1,Direct One,cal-t4-sequence-04,sequence,1,3,3,1,1,0,1,0,0,"{""answer"":[62,42,38]}"
1,direct-1,Direct One,cal-t4-constraint-01,constraint,0,4,13,0,0,0,1,0,0,"{""answer"":{""J1"":""X"",""J10"":""X"",""J11"":""Z"",""J12"":""Z"",""J2"":""X"",""J3"":""Y"",""J4"":""X"",""J5"":""W"",""J6"":""Y"",""J7"":""W"",""J8"":""Z"",""J9"":""W""},""total_cost"":161}"
1,direct-1,Direct One,cal-t4-constraint-02,constraint,0,10,13,0,0,0,1,0,0,"{""answer"":{""J1"":""Z"",""J10"":""Y"",""J11"":""Y"",""J12"":""W"",""J2"":""X"",""J3"":""Z"",""J4"":""W"",""J5"":""X"",""J6"":""W"",""J7"":""Y"",""J8"":""X"",""J9"":""Z""},""total_cost"":151}"
1,direct-1,Direct One,cal-t4-constraint-03,constraint,0,8,13,0,0,0,1,0,0,"{""answer"":{""J1"":""W"",""J10"":""Y"",""J11"":""Y"",""J12"":""Z"",""J2"":""Z"",""J3"":""Z"",""J4"":""X"",""J5"":""X"",""J6"":""W"",""J7"":""X"",""J8"":""W"",""J9"":""Y""},""total_cost"":167}"
1,direct-1,Direct One,cal-t4-constraint-04,constraint,0,10,13,0,0,0,1,0,0,"{""answer"":{""J1"":""Y"",""J10"":""Z"",""J11"":""Z"",""J12"":""W"",""J2"":""Y"",""J3"":""W"",""J4"":""X"",""J5"":""Y"",""J6"":""X"",""J7"":""Z"",""J8"":""X"",""J9"":""W""},""total_cost"":140}"
1,direct-1,Direct One,cal-t4-logic-01,logic,0,9,17,0,0,0,1,0,0,"{""answer"":{""A"":""liar"",""B"":""truthful"",""C"":""truthful"",""D"":""truthful"",""E"":""liar"",""F"":""truthful"",""G"":""truthful"",""H"":""truthful"",""I"":""truthful"",""J"":""liar"",""K"":""truthful"",""L"":""liar"",""M"":""liar"",""N"":""truthful"",""O"":""liar"",""P"":""liar"",""Q"":""liar""}}"
1,direct-1,Direct One,cal-t4-logic-02,logic,0,12,17,0,0,0,1,0,0,"{""answer"":{""A"":""liar"",""B"":""truthful"",""C"":""liar"",""D"":""liar"",""E"":""truthful"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""liar"",""J"":""liar"",""K"":""truthful"",""L"":""liar"",""M"":""truthful"",""N"":""truthful"",""O"":""truthful"",""P"":""truthful"",""Q"":""liar""}}"
1,direct-1,Direct One,cal-t4-logic-03,logic,0,6,17,0,0,0,1,0,0,"{""answer"":{""A"":""liar"",""B"":""liar"",""C"":""truthful"",""D"":""truthful"",""E"":""truthful"",""F"":""liar"",""G"":""truthful"",""H"":""liar"",""I"":""liar"",""J"":""liar"",""K"":""truthful"",""L"":""liar"",""M"":""truthful"",""N"":""liar"",""O"":""liar"",""P"":""liar"",""Q"":""liar""}}"
1,direct-1,Direct One,cal-t4-logic-04,logic,0,10,17,0,0,0,1,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""truthful"",""E"":""truthful"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""truthful"",""J"":""liar"",""K"":""liar"",""L"":""truthful"",""M"":""truthful"",""N"":""liar"",""O"":""truthful"",""P"":""liar"",""Q"":""truthful""}}"
1,plurality-5,Five-Vote Plurality,cal-t4-sequence-01,sequence,0,0,3,0,1,0,5,0,0,"{""answer"":[-1,-1,-1]}"
1,plurality-5,Five-Vote Plurality,cal-t4-sequence-02,sequence,1,3,3,1,1,0,5,0,0,"{""answer"":[20,14,65]}"
1,plurality-5,Five-Vote Plurality,cal-t4-sequence-03,sequence,0,0,3,0,0,0,5,0,0,"{""answer"":[87,0,0]}"
1,plurality-5,Five-Vote Plurality,cal-t4-sequence-04,sequence,0,0,3,0,1,0,5,0,0,"{""answer"":[0,0,0]}"
