base_exact,base_oracle,base_unique_candidates,case_id,condition_id,condition_label,effective_calls,evidence_source,exact,expanded_oracle,family,final_answer,harmful_intervention,helpful_intervention,new_correct_generated,partial_correct,partial_total,reasoning_effort,repair_created_correct_answer,requested_model,review_calls,review_candidate_oracle,review_unique_outputs,source_case_id,source_iteration,strategy_id,strategy_name
0,0,1,i012-cal-t4-sequence-01,luna-light-existing,Luna Light (existing),1,existing-canonical-luna-light-result,0,,sequence,"{""answer"":[0,0,0]}",0,0,,0,3,low,0,gpt-5.6-luna,0,,0,cal-t4-sequence-01,12,direct-1,Direct One
0,1,3,i012-cal-t4-sequence-01,luna-light-existing,Luna Light (existing),5,existing-canonical-luna-light-result,0,,sequence,"{""answer"":[0,0,0]}",0,0,,0,3,low,0,gpt-5.6-luna,0,,0,cal-t4-sequence-01,12,plurality-5,Five-Vote Plurality
0,1,3,i012-cal-t4-sequence-01,luna-light-existing,Luna Light (existing),6,existing-canonical-luna-light-result,1,,sequence,"{""answer"":[90,46,78]}",0,1,,3,3,low,0,gpt-5.6-luna,1,1,1,cal-t4-sequence-01,12,repair-falsify-5x1-efficient,One-Review Five-Bank Falsifying Repair
0,1,3,i012-cal-t4-sequence-01,luna-light-existing,Luna Light (existing),8,existing-canonical-luna-light-result,1,,sequence,"{""answer"":[90,46,78]}",0,1,,3,3,low,0,gpt-5.6-luna,3,1,1,cal-t4-sequence-01,12,repair-falsify-5x3-efficient,Three-Review Five-Bank Falsifying Repair
0,1,3,i012-cal-t4-sequence-01,luna-light-existing,Luna Light (existing),8,existing-canonical-luna-light-result,1,,sequence,"{""answer"":[90,46,78]}",0,1,,3,3,low,0,gpt-5.6-luna,3,1,1,cal-t4-sequence-01,12,cross-examine-falsify-5x3,Sequential Five-Bank Cross-Examination
0,0,1,i012-cal-t4-constraint-03,luna-light-existing,Luna Light (existing),1,existing-canonical-luna-light-result,0,,constraint,"{""answer"":{""J1"":""Y"",""J10"":""Z"",""J11"":""Z"",""J12"":""Y"",""J2"":""X"",""J3"":""X"",""J4"":""Z"",""J5"":""W"",""J6"":""W"",""J7"":""Y"",""J8"":""W"",""J9"":""X""},""total_cost"":193}",0,0,,4,13,low,0,gpt-5.6-luna,0,,0,cal-t4-constraint-03,12,direct-1,Direct One
0,0,5,i012-cal-t4-constraint-03,luna-light-existing,Luna Light (existing),5,existing-canonical-luna-light-result,0,,constraint,"{""answer"":{""J1"":""Y"",""J10"":""Z"",""J11"":""Z"",""J12"":""Y"",""J2"":""X"",""J3"":""X"",""J4"":""Z"",""J5"":""W"",""J6"":""W"",""J7"":""Y"",""J8"":""W"",""J9"":""X""},""total_cost"":193}",0,0,,4,13,low,0,gpt-5.6-luna,0,,0,cal-t4-constraint-03,12,plurality-5,Five-Vote Plurality
0,0,5,i012-cal-t4-constraint-03,luna-light-existing,Luna Light (existing),6,existing-canonical-luna-light-result,0,,constraint,"{""answer"":{""J1"":""Y"",""J10"":""Z"",""J11"":""W"",""J12"":""Y"",""J2"":""Z"",""J3"":""X"",""J4"":""W"",""J5"":""X"",""J6"":""Y"",""J7"":""W"",""J8"":""Z"",""J9"":""X""},""total_cost"":162}",0,0,,9,13,low,0,gpt-5.6-luna,1,0,1,cal-t4-constraint-03,12,repair-falsify-5x1-efficient,One-Review Five-Bank Falsifying Repair
0,0,5,i012-cal-t4-constraint-03,luna-light-existing,Luna Light (existing),8,existing-canonical-luna-light-result,0,,constraint,"{""answer"":{""J1"":""Y"",""J10"":""Z"",""J11"":""Y"",""J12"":""Z"",""J2"":""W"",""J3"":""X"",""J4"":""Y"",""J5"":""X"",""J6"":""W"",""J7"":""Z"",""J8"":""W"",""J9"":""X""},""total_cost"":153}",0,0,,6,13,low,0,gpt-5.6-luna,3,0,3,cal-t4-constraint-03,12,repair-falsify-5x3-efficient,Three-Review Five-Bank Falsifying Repair
0,0,5,i012-cal-t4-constraint-03,luna-light-existing,Luna Light (existing),8,existing-canonical-luna-light-result,0,,constraint,"{""answer"":{""J1"":""Y"",""J10"":""Z"",""J11"":""W"",""J12"":""Y"",""J2"":""Z"",""J3"":""X"",""J4"":""W"",""J5"":""X"",""J6"":""Y"",""J7"":""W"",""J8"":""Z"",""J9"":""X""},""total_cost"":162}",0,0,,9,13,low,0,gpt-5.6-luna,3,0,1,cal-t4-constraint-03,12,cross-examine-falsify-5x3,Sequential Five-Bank Cross-Examination
